นาย	Mr.
และ	1) (conj) and (เครื่องจักรทุกชนิดจะต้องมีมนุษย์เป็นผู้ควบคุมและสั่งการใช้งาน)
นาง	1) Mrs.; count unit คน (นางสมหญิงถูกโจรงัดแงะบ้านเมื่อวานนี้)<div>2) the woman/the lady;&nbsp;count unit คน&nbsp;(นางในฝันของเขาต้องเป็นผู้หญิงผมยาว)</div>
เลข	1) mathematics (เด็กผู้ชายส่วนใหญ่มักชอบเรียนเลขมากกว่าวิชาอื่นๆ)<div>2) the number/the numeral/the figure (ชาวตะวันตกไม่ชอบเลข 13 เพราะเป็นเลขที่นำความโชคร้ายมาให้)</div>
เจ้าของ	1) the owner/the proprietor; count unit คน (เขาเป็นเจ้าของกิจการสิ่งทอที่ใหญ่ที่สุดในประเทศไทย)
เจ้า	1) the god/the angel ()<div>2) the royalty/the prince/the lord/the ruler (พ่อขุนศรีอินทราทิตย์เป็นเจ้าผู้ครองเมืองสุโขทัย)</div><div>3) you (pron) (เจ้าลูกกระทิง เจ้ามัวแต่กินนมแม่ของเจ้า)</div>
ที่สี่	the fourth
ซอย	1) the lane (alley); count unit is ซอย; (บ้านนายกรัฐมนตรี ชวน หลีกภัย อยู่ในซอยหมอเหล็ง)<div>2) to slice (mince, divide) (แม่ซอยหัวหอมใส่ในยำวุ้นเส้น)</div>
ภาค	1) the part (section) count unit: ภาค (เรื่องนี้ยังไม่จบง่ายๆ หรอกต้องมีภาคต่อไปอีกแน่นอน)&nbsp;<div>2) the part (region/area/district/quarter) count unit:&nbsp;ภาค (ตอนนี้ไม่ว่าภาคไหนๆ ก็ประสบกับสภาพดินฟ้าอากาศที่แปรปรวน)</div>
ภู	1) the mountain; count unit ลูก (ยิ่งใกล้วันเดินทางเขาก็ยิ่งจินตนาการถึงสีสันของดอกไม้บนภูสูงแถบเหนือสุดของประเทศ))
ภาคภูมิ	1) to be proud of (คนไทยควรภาคภูมิด้วยรัก หวงแหน และช่วยกันธำรงคุณค่าภาษาไทยตามแนวทางที่พึงจะกระทำ)<div>2) (adj) proud of (คนที่จะเป็นนายกรัฐมนตรีได้นั้นจะต้องมีสง่า มีท่าทางภาคภูมิสมกับตำแหน่ง)&nbsp;</div><div>3) (adv) proudly (หลายต่อหลายประเทศได้กล่าวอ้างอย่างภาคภูมิว่าตนเองสามารถจัดระบบการใช้น้ำได้อย่างมีประสิทธิภาพ)</div>
ใจ	1) the heart (ใจของเขาเต้นแรงหลังจากได้ยินข่าวร้ายจากทางบ้าน)<div>2) the mind/the spirit/the disposition (ผู้ที่หน้าตาสดใสย่อมเป็นผลมาจากใจที่บริสุทธิ์ผุดผ่อง)</div>
นัก	1) extremely (very) (&nbsp;ช่วงฤดูหนาวที่เชียงใหม่จะมีอากาศหนาวนัก)<div>2) one skilled ... [verb or noun]</div>
บอก	1) to tell information (avoid using with 'news', that would be 'read', so อันข่าว) (ผมมีอะไรจะบอกเกี่ยวกับทเรียนของวันนี้) (คุณยายบอกอาการให้หมอฟังอย่างละเอียด)<div>2) to describe/indicate (เหตุการณ์นี้เป็นสัญญาณบอกเหตุร้ายแน่แน่เลย)</div><div>3) to advise (อย่าบอกหนังสือสังฆราช)</div><div><br /></div><div><div>พูด (to speak)</div><div>คุย (to talk)</div><div>เล่า (to tell story)</div></div>
ว่า	1) that<div>2) as to</div><div>3) (unconfirmed: to say)</div><div>4) (unconfirmed: to rebuke)</div>
พวก	1) numerical counter for group/party/set/gang/clique (โปรแกรมพวกนี้จะเป็นโปรแกรมการกุศลซึ่งเป็นโปรแกรมที่ประโยชน์ใช้งานได้จริง)<div>2) the group/the community/the party/the gang (ในขณะที่แนวคิดแบบพวกพฤติกรรมนิยมกำลังเข้าแทนที่พวกโครงสร้างในสหรัฐอเมริกา กลุ่มเกสตัลก็เริ่มมีอิทธิพลในเยอรมัน)</div>
พวกเขา	1) they/them (pron) (กลุ่มจิตรกรชาวฝรั่งเศสเคยถูกโจมตีกล่าวหาว่าภาพเขียนของพวกเขาแหกคอกหาศิลปะไม่ได้)
เขา	1) he/she/they (pron); count unit คน (ฉันไม่แน่ใจว่าเขาจะอยู่บ้านตอนบ่ายรึเปล่า)<div>2) the mountain; count unit ลูก (ในที่สุดนักเดินป่าก็ข้ามเขาลูกนั้นสำเร็จ)</div><div>3) the horn; count unit ข้าง, คู่ (กวางแทบจะสูญพันธ์เพราะมนุษย์ล่าเพื่อต้องการเขาอันสวยงามของมัน)</div><div>4) the dove (bird); Count unit: ตัว&nbsp;(ที่บ้านสวนพ่อจะเลี้ยงนกเขาไว้ดูเล่นแก้เหงา)</div>
คน	1) the human, count unit: คน (ในสมัยก่อนคนยังอาศัยอยู่ในถ้ำ และใช้อาวุธง่ายๆ ในการล่าสัตว์)<div>2) numerical counter for people (except monks and royalty) (นักเรียนหลายคนร่วมกันทำกิจกรรมเพื่อสร้างชื่อเสียงให้โรงเรียน)&nbsp;</div><div>3) to stir (mix/blend) (แม่ครัวคนกะทิให้แตกมัน ก่อนจะเอาไปราดผักที่ต้มไว้แล้ว)</div>
ปก	1) the cover/the bookcover (เด็กกำลังขีดเขียนลงบนปกหนังสือ)<div>2) the collar (ครูสวมชุดสีน้ำเงินขับผิวผ่องติดเข็มกลัดเพชรเล็กๆ ที่ปกเสื้อเป็นรูปตัวผึ้ง)</div><div>3) to cover (ปลาส่วนใหญ่มีเกล็ดปกคลุมทั่วทั้งตัวปลา)</div>
ติ	1) to condemn/to blame/to censure/to criticize/to rebuke (verb) (ผู้จัดการติพนักงานที่มาสายในวันนี้)
ปกติ	1) regular/unremarkable (adj) ()
ธรรม	1) doctrine (see also Teaching of Buddha, dharma) (example?)
ธรรมดา	1) plain/normal (adj) ()
สุด	1) the end/the finish<div>2) (adj) last/rearmost</div><div>3) (adv) extremely/utterly</div>
ที่สุด	1) (adj) best/greatest/most/ultimate (ผมเป็นคนที่สุด)
เชื่อเขาเลย	“Believe them/him!”
เลย	1) to pass/to go through (รถเมล์เลยป้ายไปตั้งไกลจนผู้โดยสารต้องเดินกลับมาเอง)<div>2) (adv) really/indeed (การเยียวยารักษาคอมพิวเตอร์ที่ถูกไวรัสเล่นงานนี้ไม่ใช่เรื่องสนุกเลย)</div><div>3) (aux) obliged to/have to (พวกเราพลาดรถโดยสารเที่ยวสุดท้ายเลยต้องเดินกลับ)</div><div>4) (adv) completely (ผมไม่เห็นด้วยเกี่ยวกับเรื่องที่เขาพูดเลย)</div>
เชื่อ	1) to believe in/to have faith in (ชาวไทยเชื่อในพระพุทธศาสนา)<div>2) to believe (something/somemone)</div><div>3) to buy on credit (เราได้ของเหล่านี้มาโดยเชื่อไว้กับร้านไว้ก่อน)</div>
ท้าย	1) the rear/the end (รูปร่างของเขาเล็กและเตี้ย จึงต้องอยู่ท้ายแถวเป็นประจำ)<div>2) the last/the final (นิทานเรื่องนี้ ท้ายเรื่องได้ให้คติสอนใจไว้ด้วย)</div>
สุดท้าย	the last/very last (extremely end/tail?)
คิด	1) to estimate/to speculate/to guess (นักภูมิศาสตร์จากบริษัทสำรวจทางอากาศคิดว่าการใช้คอมพิวเตอร์จะช่วยให้งานนี้สำเร็จได้เร็วขึ้นและประหยัด)<div>2) to create/to make/to invent (คอมพิวเตอร์เป็นเครื่องมือที่มนุษย์ได้ประดิษฐ์คิดขึ้นมาไม่น้อยกว่า 50 ปีแล้ว)</div><div>3) to think/to conceive/to imagine (เขาคิดแบบแปลนบ้านไว้อย่างสวยหรู, Thai definition: ทำให้ปรากฏเป็นรูปหรือประกอบให้เป็นรูปหรือเป็นเรื่องขึ้นในใจ)</div><div>4) to want to/to intend to (เด็กที่อยู่ตามท้องนาก็คงมีจำนวนน้อยที่คิดจะไปเรียนเมืองนอกเมืองนา)</div><div>5) to calculate/to compute/to reckon (นายจ้างจะคิดค่าอาหารและค่าที่พักให้ลูกจ้างโดยเรียกเก็บจากลูกจ้างภายหลัง)</div><div>6) to consider/to reflect/to contemplate (ผมพยายามคิดหาเหตุผลที่เหมาะสมกับการกระทำของเขาในครั้งนี้)</div>
ถึง	1) even though (conj) (ถึงพ่อจะใจดีแค่ไหน ท่านก็คงจะไม่อนุญาตให้เราไปเที่ยวกลางคืน)<div>2) to reach (v) (ทุกคนถึงที่หมายอย่างปลอดภัย)</div><div>3) to (prep) (ผมจะรอตั้งแต่บ่ายโมงถึงสามโมง ถ้าเขายังไม่มาผมก็ยกเลิกสัญญาก็แล้วกัน)</div><div>4) to be skillful (at something) (v) (เขายังไม่สามารถซ่อมตรงจุดนี้ได้เพราะฝีมือยังไม่ถึง)</div><div>5) to be enough (v) (ต้มยำชามนี้รสชาติยังไม่ถึงเครื่องเท่าไหร่)</div><div>6) then (conj) (นั่นสิ ลูกต้องทำอย่างนี้ถึงจะเป็นเด็กดี)</div>
ถึงว่า	that
